,index,Year,Period,Avg hrs per day sleeping,Standard Error,Type of Days,Age Group,Activity,Sex
0,0,2003,Annual,8.57,0.018,All days,15 years and over,Sleeping,Both
1,1,2004,Annual,8.55,0.026,All days,15 years and over,Sleeping,Both
2,2,2005,Annual,8.62,0.023,All days,15 years and over,Sleeping,Both
3,3,2006,Annual,8.63,0.024,All days,15 years and over,Sleeping,Both
4,4,2007,Annual,8.57,0.024,All days,15 years and over,Sleeping,Both
5,5,2008,Annual,8.6,0.023,All days,15 years and over,Sleeping,Both
6,6,2009,Annual,8.67,0.023,All days,15 years and over,Sleeping,Both
7,7,2010,Annual,8.67,0.024,All days,15 years and over,Sleeping,Both
8,8,2011,Annual,8.71,0.026,All days,15 years and over,Sleeping,Both
9,9,2012,Annual,8.73,0.026,All days,15 years and over,Sleeping,Both
10,10,2013,Annual,8.74,0.027,All days,15 years and over,Sleeping,Both
11,11,2014,Annual,8.8,0.025,All days,15 years and over,Sleeping,Both
12,12,2015,Annual,8.83,0.027,All days,15 years and over,Sleeping,Both
13,13,2016,Annual,8.79,0.028,All days,15 years and over,Sleeping,Both
14,14,2017,Annual,8.8,0.027,All days,15 years and over,Sleeping,Both
15,15,2003,Annual,8.26,0.023,Nonholiday weekdays,15 years and over,Sleeping,Both
16,16,2004,Annual,8.25,0.034,Nonholiday weekdays,15 years and over,Sleeping,Both
17,17,2005,Annual,8.35,0.03,Nonholiday weekdays,15 years and over,Sleeping,Both
18,18,2006,Annual,8.33,0.032,Nonholiday weekdays,15 years and over,Sleeping,Both
19,19,2007,Annual,8.29,0.032,Nonholiday weekdays,15 years and over,Sleeping,Both
20,20,2008,Annual,8.3,0.032,Nonholiday weekdays,15 years and over,Sleeping,Both
21,21,2009,Annual,8.39,0.031,Nonholiday weekdays,15 years and over,Sleeping,Both
22,22,2010,Annual,8.38,0.031,Nonholiday weekdays,15 years and over,Sleeping,Both
23,23,2011,Annual,8.45,0.034,Nonholiday weekdays,15 years and over,Sleeping,Both
24,24,2012,Annual,8.45,0.034,Nonholiday weekdays,15 years and over,Sleeping,Both
25,25,2013,Annual,8.48,0.036,Nonholiday weekdays,15 years and over,Sleeping,Both
26,26,2014,Annual,8.54,0.031,Nonholiday weekdays,15 years and over,Sleeping,Both
27,27,2015,Annual,8.59,0.035,Nonholiday weekdays,15 years and over,Sleeping,Both
28,28,2016,Annual,8.5,0.037,Nonholiday weekdays,15 years and over,Sleeping,Both
29,29,2017,Annual,8.53,0.035,Nonholiday weekdays,15 years and over,Sleeping,Both
30,30,2003,Annual,9.29,0.026,Weekend days and holidays,15 years and over,Sleeping,Both
31,31,2004,Annual,9.25,0.032,Weekend days and holidays,15 years and over,Sleeping,Both
32,32,2005,Annual,9.28,0.037,Weekend days and holidays,15 years and over,Sleeping,Both
