,index,Year,Period,Avg hrs per day sleeping,Standard Error,Type of Days,Age Group,Activity,Sex
315,315,2003,Annual,8.48,0.031,All days,15 years and over,Sleeping,Men
316,316,2004,Annual,8.48,0.04,All days,15 years and over,Sleeping,Men
317,317,2005,Annual,8.53,0.034,All days,15 years and over,Sleeping,Men
318,318,2006,Annual,8.56,0.035,All days,15 years and over,Sleeping,Men
319,319,2007,Annual,8.52,0.038,All days,15 years and over,Sleeping,Men
320,320,2008,Annual,8.56,0.033,All days,15 years and over,Sleeping,Men
321,321,2009,Annual,8.62,0.041,All days,15 years and over,Sleeping,Men
322,322,2010,Annual,8.56,0.035,All days,15 years and over,Sleeping,Men
323,323,2011,Annual,8.62,0.036,All days,15 years and over,Sleeping,Men
324,324,2012,Annual,8.6,0.041,All days,15 years and over,Sleeping,Men
325,325,2013,Annual,8.65,0.041,All days,15 years and over,Sleeping,Men
326,326,2014,Annual,8.69,0.036,All days,15 years and over,Sleeping,Men
327,327,2015,Annual,8.77,0.045,All days,15 years and over,Sleeping,Men
328,328,2016,Annual,8.69,0.043,All days,15 years and over,Sleeping,Men
329,329,2017,Annual,8.7,0.04,All days,15 years and over,Sleeping,Men
330,330,2003,Annual,8.16,0.039,Nonholiday weekdays,15 years and over,Sleeping,Men
331,331,2004,Annual,8.16,0.053,Nonholiday weekdays,15 years and over,Sleeping,Men
332,332,2005,Annual,8.25,0.045,Nonholiday weekdays,15 years and over,Sleeping,Men
333,333,2006,Annual,8.26,0.045,Nonholiday weekdays,15 years and over,Sleeping,Men
334,334,2007,Annual,8.2,0.05,Nonholiday weekdays,15 years and over,Sleeping,Men
335,335,2008,Annual,8.27,0.045,Nonholiday weekdays,15 years and over,Sleeping,Men
336,336,2009,Annual,8.31,0.053,Nonholiday weekdays,15 years and over,Sleeping,Men
337,337,2010,Annual,8.27,0.047,Nonholiday weekdays,15 years and over,Sleeping,Men
338,338,2011,Annual,8.33,0.046,Nonholiday weekdays,15 years and over,Sleeping,Men
339,339,2012,Annual,8.28,0.052,Nonholiday weekdays,15 years and over,Sleeping,Men
340,340,2013,Annual,8.38,0.053,Nonholiday weekdays,15 years and over,Sleeping,Men
341,341,2014,Annual,8.44,0.047,Nonholiday weekdays,15 years and over,Sleeping,Men
342,342,2015,Annual,8.52,0.058,Nonholiday weekdays,15 years and over,Sleeping,Men
343,343,2016,Annual,8.36,0.056,Nonholiday weekdays,15 years and over,Sleeping,Men
344,344,2017,Annual,8.4,0.055,Nonholiday weekdays,15 years and over,Sleeping,Men
345,345,2003,Annual,9.22,0.044,Weekend days and holidays,15 years and over,Sleeping,Men
346,346,2004,Annual,9.23,0.046,Weekend days and holidays,15 years and over,Sleeping,Men
347,347,2005,Annual,9.22,0.06,Weekend days and holidays,15 years and over,Sleeping,Men
348,348,2006,Annual,9.28,0.055,Weekend days and holidays,15 years and over,Sleeping,Men
349,349,2007,Annual,9.24,0.055,Weekend days and holidays,15 years and over,Sleeping,Men
350,350,2008,Annual,9.25,0.055,Weekend days and holidays,15 years and over,Sleeping,Men
351,351,2009,Annual,9.33,0.048,Weekend days and holidays,15 years and over,Sleeping,Men
352,352,2010,Annual,9.28,0.046,Weekend days and holidays,15 years and over,Sleeping,Men
353,353,2011,Annual,9.31,0.059,Weekend days and holidays,15 years and over,Sleeping,Men
354,354,2012,Annual,9.33,0.059,Weekend days and holidays,15 years and over,Sleeping,Men
355,355,2013,Annual,9.3,0.056,Weekend days and holidays,15 years and over,Sleeping,Men
356,356,2014,Annual,9.26,0.053,Weekend days and holidays,15 years and over,Sleeping,Men
357,357,2015,Annual,9.34,0.061,Weekend days and holidays,15 years and over,Sleeping,Men
358,358,2016,Annual,9.47,0.061,Weekend days and holidays,15 years and over,Sleeping,Men
359,359,2017,Annual,9.38,0.053,Weekend days and holidays,15 years and over,Sleeping,Men
360,360,2003,Annual,9.14,0.095,All days,15 to 24 years,Sleeping,Men
361,361,2004,Annual,9.12,0.109,All days,15 to 24 years,Sleeping,Men
362,362,2005,Annual,9.2,0.118,All days,15 to 24 years,Sleeping,Men
363,363,2006,Annual,9.21,0.108,All days,15 to 24 years,Sleeping,Men
364,364,2007,Annual,9.03,0.125,All days,15 to 24 years,Sleeping,Men
365,365,2008,Annual,9.27,0.122,All days,15 to 24 years,Sleeping,Men
366,366,2009,Annual,9.56,0.136,All days,15 to 24 years,Sleeping,Men
367,367,2010,Annual,9.21,0.117,All days,15 to 24 years,Sleeping,Men
368,368,2011,Annual,9.33,0.107,All days,15 to 24 years,Sleeping,Men
369,369,2012,Annual,9.16,0.118,All days,15 to 24 years,Sleeping,Men
370,370,2013,Annual,9.3,0.14,All days,15 to 24 years,Sleeping,Men
371,371,2014,Annual,9.47,0.118,All days,15 to 24 years,Sleeping,Men
372,372,2015,Annual,9.51,0.162,All days,15 to 24 years,Sleeping,Men
373,373,2016,Annual,9.59,0.15,All days,15 to 24 years,Sleeping,Men
374,374,2017,Annual,9.78,0.133,All days,15 to 24 years,Sleeping,Men
375,375,2003,Annual,8.73,0.131,Nonholiday weekdays,15 to 24 years,Sleeping,Men
376,376,2004,Annual,8.65,0.143,Nonholiday weekdays,15 to 24 years,Sleeping,Men
377,377,2005,Annual,8.88,0.154,Nonholiday weekdays,15 to 24 years,Sleeping,Men
378,378,2006,Annual,8.93,0.133,Nonholiday weekdays,15 to 24 years,Sleeping,Men
379,379,2007,Annual,8.58,0.163,Nonholiday weekdays,15 to 24 years,Sleeping,Men
380,380,2008,Annual,8.9,0.153,Nonholiday weekdays,15 to 24 years,Sleeping,Men
381,381,2009,Annual,9.25,0.177,Nonholiday weekdays,15 to 24 years,Sleeping,Men
382,382,2010,Annual,8.88,0.159,Nonholiday weekdays,15 to 24 years,Sleeping,Men
383,383,2011,Annual,9.01,0.136,Nonholiday weekdays,15 to 24 years,Sleeping,Men
384,384,2012,Annual,8.68,0.158,Nonholiday weekdays,15 to 24 years,Sleeping,Men
385,385,2013,Annual,8.93,0.164,Nonholiday weekdays,15 to 24 years,Sleeping,Men
386,386,2014,Annual,9.33,0.158,Nonholiday weekdays,15 to 24 years,Sleeping,Men
387,387,2015,Annual,9.35,0.214,Nonholiday weekdays,15 to 24 years,Sleeping,Men
388,388,2016,Annual,9.14,0.189,Nonholiday weekdays,15 to 24 years,Sleeping,Men
389,389,2017,Annual,9.46,0.184,Nonholiday weekdays,15 to 24 years,Sleeping,Men
390,390,2003,Annual,10.13,0.133,Weekend days and holidays,15 to 24 years,Sleeping,Men
391,391,2004,Annual,10.25,0.156,Weekend days and holidays,15 to 24 years,Sleeping,Men
392,392,2005,Annual,9.96,0.164,Weekend days and holidays,15 to 24 years,Sleeping,Men
393,393,2006,Annual,9.88,0.18,Weekend days and holidays,15 to 24 years,Sleeping,Men
394,394,2007,Annual,9.99,0.182,Weekend days and holidays,15 to 24 years,Sleeping,Men
395,395,2008,Annual,10.13,0.18,Weekend days and holidays,15 to 24 years,Sleeping,Men
396,396,2009,Annual,10.31,0.149,Weekend days and holidays,15 to 24 years,Sleeping,Men
397,397,2010,Annual,9.99,0.148,Weekend days and holidays,15 to 24 years,Sleeping,Men
398,398,2011,Annual,10.11,0.187,Weekend days and holidays,15 to 24 years,Sleeping,Men
399,399,2012,Annual,10.24,0.153,Weekend days and holidays,15 to 24 years,Sleeping,Men
400,400,2013,Annual,10.18,0.228,Weekend days and holidays,15 to 24 years,Sleeping,Men
401,401,2014,Annual,9.8,0.134,Weekend days and holidays,15 to 24 years,Sleeping,Men
402,402,2015,Annual,9.9,0.217,Weekend days and holidays,15 to 24 years,Sleeping,Men
403,403,2016,Annual,10.65,0.189,Weekend days and holidays,15 to 24 years,Sleeping,Men
404,404,2017,Annual,10.46,0.163,Weekend days and holidays,15 to 24 years,Sleeping,Men
405,405,2003,Annual,8.3,0.066,All days,25 to 34 years,Sleeping,Men
406,406,2004,Annual,8.42,0.118,All days,25 to 34 years,Sleeping,Men
407,407,2005,Annual,8.44,0.092,All days,25 to 34 years,Sleeping,Men
408,408,2006,Annual,8.4,0.096,All days,25 to 34 years,Sleeping,Men
409,409,2007,Annual,8.45,0.108,All days,25 to 34 years,Sleeping,Men
410,410,2008,Annual,8.48,0.093,All days,25 to 34 years,Sleeping,Men
411,411,2009,Annual,8.48,0.103,All days,25 to 34 years,Sleeping,Men
412,412,2010,Annual,8.28,0.097,All days,25 to 34 years,Sleeping,Men
413,413,2011,Annual,8.37,0.1,All days,25 to 34 years,Sleeping,Men
414,414,2012,Annual,8.55,0.093,All days,25 to 34 years,Sleeping,Men
415,415,2013,Annual,8.45,0.104,All days,25 to 34 years,Sleeping,Men
416,416,2014,Annual,8.62,0.1,All days,25 to 34 years,Sleeping,Men
417,417,2015,Annual,8.79,0.122,All days,25 to 34 years,Sleeping,Men
418,418,2016,Annual,8.54,0.101,All days,25 to 34 years,Sleeping,Men
419,419,2017,Annual,8.47,0.116,All days,25 to 34 years,Sleeping,Men
420,420,2003,Annual,7.91,0.079,Nonholiday weekdays,25 to 34 years,Sleeping,Men
421,421,2004,Annual,8.0,0.157,Nonholiday weekdays,25 to 34 years,Sleeping,Men
422,422,2005,Annual,8.01,0.114,Nonholiday weekdays,25 to 34 years,Sleeping,Men
423,423,2006,Annual,7.94,0.121,Nonholiday weekdays,25 to 34 years,Sleeping,Men
424,424,2007,Annual,8.02,0.143,Nonholiday weekdays,25 to 34 years,Sleeping,Men
425,425,2008,Annual,8.13,0.12,Nonholiday weekdays,25 to 34 years,Sleeping,Men
426,426,2009,Annual,8.13,0.133,Nonholiday weekdays,25 to 34 years,Sleeping,Men
427,427,2010,Annual,7.91,0.117,Nonholiday weekdays,25 to 34 years,Sleeping,Men
428,428,2011,Annual,7.94,0.131,Nonholiday weekdays,25 to 34 years,Sleeping,Men
429,429,2012,Annual,8.25,0.118,Nonholiday weekdays,25 to 34 years,Sleeping,Men
430,430,2013,Annual,8.12,0.137,Nonholiday weekdays,25 to 34 years,Sleeping,Men
431,431,2014,Annual,8.31,0.127,Nonholiday weekdays,25 to 34 years,Sleeping,Men
432,432,2015,Annual,8.55,0.154,Nonholiday weekdays,25 to 34 years,Sleeping,Men
433,433,2016,Annual,8.17,0.128,Nonholiday weekdays,25 to 34 years,Sleeping,Men
434,434,2017,Annual,8.02,0.157,Nonholiday weekdays,25 to 34 years,Sleeping,Men
435,435,2003,Annual,9.23,0.106,Weekend days and holidays,25 to 34 years,Sleeping,Men
436,436,2004,Annual,9.38,0.118,Weekend days and holidays,25 to 34 years,Sleeping,Men
437,437,2005,Annual,9.46,0.163,Weekend days and holidays,25 to 34 years,Sleeping,Men
438,438,2006,Annual,9.5,0.117,Weekend days and holidays,25 to 34 years,Sleeping,Men
439,439,2007,Annual,9.43,0.138,Weekend days and holidays,25 to 34 years,Sleeping,Men
440,440,2008,Annual,9.32,0.149,Weekend days and holidays,25 to 34 years,Sleeping,Men
441,441,2009,Annual,9.34,0.133,Weekend days and holidays,25 to 34 years,Sleeping,Men
442,442,2010,Annual,9.17,0.136,Weekend days and holidays,25 to 34 years,Sleeping,Men
443,443,2011,Annual,9.34,0.171,Weekend days and holidays,25 to 34 years,Sleeping,Men
444,444,2012,Annual,9.28,0.13,Weekend days and holidays,25 to 34 years,Sleeping,Men
