,index,Year,Period,Avg hrs per day sleeping,Standard Error,Type of Days,Age Group,Activity,Sex
630,630,2003,Annual,8.65,0.022,All days,15 years and over,Sleeping,Women
631,631,2004,Annual,8.61,0.028,All days,15 years and over,Sleeping,Women
632,632,2005,Annual,8.71,0.029,All days,15 years and over,Sleeping,Women
633,633,2006,Annual,8.69,0.035,All days,15 years and over,Sleeping,Women
634,634,2007,Annual,8.63,0.03,All days,15 years and over,Sleeping,Women
635,635,2008,Annual,8.64,0.034,All days,15 years and over,Sleeping,Women
636,636,2009,Annual,8.73,0.03,All days,15 years and over,Sleeping,Women
637,637,2010,Annual,8.76,0.033,All days,15 years and over,Sleeping,Women
638,638,2011,Annual,8.8,0.035,All days,15 years and over,Sleeping,Women
639,639,2012,Annual,8.86,0.033,All days,15 years and over,Sleeping,Women
640,640,2013,Annual,8.82,0.034,All days,15 years and over,Sleeping,Women
641,641,2014,Annual,8.9,0.034,All days,15 years and over,Sleeping,Women
642,642,2015,Annual,8.9,0.033,All days,15 years and over,Sleeping,Women
643,643,2016,Annual,8.88,0.037,All days,15 years and over,Sleeping,Women
644,644,2017,Annual,8.9,0.037,All days,15 years and over,Sleeping,Women
645,645,2003,Annual,9.34,0.029,Weekend days and holidays,15 years and over,Sleeping,Women
646,646,2004,Annual,9.27,0.037,Weekend days and holidays,15 years and over,Sleeping,Women
647,647,2005,Annual,9.34,0.042,Weekend days and holidays,15 years and over,Sleeping,Women
648,648,2006,Annual,9.36,0.047,Weekend days and holidays,15 years and over,Sleeping,Women
649,649,2007,Annual,9.24,0.043,Weekend days and holidays,15 years and over,Sleeping,Women
650,650,2008,Annual,9.36,0.047,Weekend days and holidays,15 years and over,Sleeping,Women
651,651,2009,Annual,9.34,0.045,Weekend days and holidays,15 years and over,Sleeping,Women
652,652,2010,Annual,9.4,0.046,Weekend days and holidays,15 years and over,Sleeping,Women
653,653,2011,Annual,9.39,0.054,Weekend days and holidays,15 years and over,Sleeping,Women
654,654,2012,Annual,9.46,0.048,Weekend days and holidays,15 years and over,Sleeping,Women
655,655,2013,Annual,9.38,0.052,Weekend days and holidays,15 years and over,Sleeping,Women
656,656,2014,Annual,9.52,0.049,Weekend days and holidays,15 years and over,Sleeping,Women
657,657,2015,Annual,9.46,0.047,Weekend days and holidays,15 years and over,Sleeping,Women
658,658,2016,Annual,9.49,0.051,Weekend days and holidays,15 years and over,Sleeping,Women
659,659,2017,Annual,9.49,0.05,Weekend days and holidays,15 years and over,Sleeping,Women
660,660,2003,Annual,8.36,0.028,Nonholiday weekdays,15 years and over,Sleeping,Women
661,661,2004,Annual,8.33,0.038,Nonholiday weekdays,15 years and over,Sleeping,Women
662,662,2005,Annual,8.45,0.038,Nonholiday weekdays,15 years and over,Sleeping,Women
663,663,2006,Annual,8.4,0.045,Nonholiday weekdays,15 years and over,Sleeping,Women
664,664,2007,Annual,8.36,0.041,Nonholiday weekdays,15 years and over,Sleeping,Women
665,665,2008,Annual,8.33,0.044,Nonholiday weekdays,15 years and over,Sleeping,Women
666,666,2009,Annual,8.47,0.039,Nonholiday weekdays,15 years and over,Sleeping,Women
667,667,2010,Annual,8.49,0.042,Nonholiday weekdays,15 years and over,Sleeping,Women
668,668,2011,Annual,8.56,0.045,Nonholiday weekdays,15 years and over,Sleeping,Women
